,Group,Sampled Products,url
1,Animal Products and Animal Hides,Frozen Boneless Beef,https://upload.wikimedia.org/wikipedia/commons/6/60/Standing-rib-roast.jpg
7,Animal Products and Animal Hides,Milk,https://upload.wikimedia.org/wikipedia/commons/e/e2/A2_brand_milk.jpg
4,Animal Products and Animal Hides,Halibut,https://upload.wikimedia.org/wikipedia/commons/5/52/Hippoglossus_hippoglossus2.jpg
5,Animal Products and Animal Hides,Mackerel,https://upload.wikimedia.org/wikipedia/commons/4/48/A_mackerel.jpg
6,Animal Products and Animal Hides,Smoked Salmon,https://upload.wikimedia.org/wikipedia/commons/9/9e/Carnegie_Deli_Strawberry_Cheesecake.jpg
7,Animal Products and Animal Hides,Milk,https://upload.wikimedia.org/wikipedia/commons/e/e2/A2_brand_milk.jpg
8,Animal Products and Animal Hides,Ivory,https://upload.wikimedia.org/wikipedia/commons/0/08/Horn_Louvre_OA4069.jpg
0,Animal Products and Animal Hides,Non-breeding Horses,https://upload.wikimedia.org/wikipedia/commons/b/b9/Paint_Horse_REFON.jpg
2,Animal Products and Animal Hides,Pork,https://upload.wikimedia.org/wikipedia/commons/f/fd/BCfood12.JPG
10,Chemicals Products,Hydroquinone,https://upload.wikimedia.org/wikipedia/commons/3/36/Para-Benzoquinone_needles.jpg
11,Chemicals Products,Malaria test kits,https://upload.wikimedia.org/wikipedia/commons/6/69/Malaria_Parasite_Connecting_to_Human_Red_Blood_Cell_%2834034143483%29.jpg
13,Chemicals Products,Glues,https://upload.wikimedia.org/wikipedia/commons/5/5d/AdhesivesForHouseUse004.jpg
14,Chemicals Products,Vaccines,https://upload.wikimedia.org/wikipedia/commons/2/25/Mycobacterium_bovis_BCG_ZN.jpg
15,Chemicals Products,Fertilizers,https://upload.wikimedia.org/wikipedia/commons/5/53/Manure_spreading_Hlokozi_2007_11_29.jpg
16,Chemicals Products,Essential oils of lemon,https://upload.wikimedia.org/wikipedia/commons/a/a6/Aloysia_citriodora_002.jpg
18,Chemicals Products,Explosives,https://upload.wikimedia.org/wikipedia/commons/3/36/Exploding_pumpkins_131106-F-YU668-233.jpg
19,Chemicals Products,Matches,https://upload.wikimedia.org/wikipedia/commons/c/c1/Streichholz.jpg
9,Chemicals Products,Oxygen,https://upload.wikimedia.org/wikipedia/commons/a/a0/Liquid_oxygen_in_a_beaker_%28cropped_and_retouched%29.jpg
21,Food,Sausages,https://upload.wikimedia.org/wikipedia/commons/7/7b/Battered_Sausage_II.jpg
23,Food,Chocolate,https://upload.wikimedia.org/wikipedia/commons/7/70/Chocolate_%28blue_background%29.jpg
24,Food,Stuffed pasta,https://upload.wikimedia.org/wikipedia/commons/5/58/Agnolotti.JPG
28,Food,Liquors,https://upload.wikimedia.org/wikipedia/commons/a/a8/Common_alcoholic_beverages.jpg
27,Food,Beer,https://upload.wikimedia.org/wikipedia/commons/7/78/GravityTap.jpg
25,Food,Orange juice,https://upload.wikimedia.org/wikipedia/commons/f/fd/Orange_juice_1.jpg
26,Food,Ice Cream,https://upload.wikimedia.org/wikipedia/commons/3/38/FriedIceCream.jpg
29,Food,Cigarettes,https://upload.wikimedia.org/wikipedia/commons/4/4c/Candy_cigarette_display_in_shop.jpg
22,Food,Raw Sugar,https://upload.wikimedia.org/wikipedia/commons/8/8f/SuikerfabriekVeurne.jpg
