year,importer_name,export_value,exporter_name,import_value
2018,Afghanistan,1141761410.0,Afghanistan,27381314.0
2018,Albania,61240437.0,Albania,67398147.0
2018,Algeria,1066699060.0,Algeria,4756699813.0
2018,Andorra,3017699.0,Andorra,15839837.0
2018,Angola,705373726.0,Angola,2247131545.0
2018,Anguilla,99078162.0,Anguilla,4964116.0
2018,Antigua and Barbuda,432382921.0,Antigua and Barbuda,1953156.0
2018,Argentina,8064535850.0,Argentina,4620382148.0
2018,Armenia,117171194.0,Armenia,57333377.0
2018,Aruba,562208685.0,Aruba,9756152.0
2018,Australia,24103147752.0,Australia,9778266254.0
2018,Austria,4989909189.0,Austria,12953492934.0
2018,Azerbaijan,552602084.0,Azerbaijan,333835608.0
2018,Bahamas,2642955829.0,Bahamas,321923092.0
2018,Bahrain,1122437453.0,Bahrain,911043174.0
2018,Bangladesh,1750293532.0,Bangladesh,6279495678.0
2018,Barbados,546296734.0,Barbados,50465794.0
2018,Belarus,368211308.0,Belarus,312867697.0
2018,Belgium,26341527439.0,Belgium,17400761968.0
2018,Belize,388291773.0,Belize,97554402.0
2018,Benin,251031228.0,Benin,19333208.0
2018,Bermuda,548884309.0,Bermuda,13895218.0
2018,Bhutan,3334181.0,Bhutan,795903.0
2018,Bolivia,599262636.0,Bolivia,567111542.0
2018,Bosnia and Herzegovina,316899083.0,Bosnia and Herzegovina,95677332.0
2018,Botswana,73635065.0,Botswana,293194264.0
2018,Brazil,34168586264.0,Brazil,28984777701.0
2018,British Indian Ocean Territory,8935901.0,British Indian Ocean Territory,99601.0
2018,British Virgin Islands,385749736.0,British Virgin Islands,14737567.000000002
2018,Brunei,286005724.0,Brunei,54842800.0
2018,Bulgaria,360593598.0,Bulgaria,904751376.0
2018,Burkina Faso,139347547.0,Burkina Faso,8871979.0
2018,Burma,345065366.0,Burma,692949682.0
2018,Burundi,14265167.0,Burundi,14162374.0
2018,Cambodia,503622209.0,Cambodia,4057083315.0
2018,Cameroon,185184722.0,Cameroon,220557939.0
2018,Canada,262392356853.0,Canada,316284550156.0
2018,Cape Verde,7018499.0,Cape Verde,3497929.0
2018,Cayman Islands,627400045.0,Cayman Islands,13957692.0
2018,Central African Republic,7015389.0,Central African Republic,2900246.0
2018,Chad,50247724.0,Chad,494695249.0
2018,Chile,14226076762.0,Chile,10528002714.0
2018,China,127670758241.0,China,522625344531.0
2018,Chinese Taipei,32236542660.0,Chinese Taipei,44113255718.0
2018,Christmas Island,736259.0,Christmas Island,872552.0
2018,Cocos (Keeling) Islands,339713.0,Cocos (Keeling) Islands,2894738.0
2018,Colombia,13671307120.0,Colombia,11498274008.0
2018,Comoros,980981.0,Comoros,3010630.0
2018,Cook Islands,4428794.0,Cook Islands,912762.0
2018,Costa Rica,6343598533.0,Costa Rica,4718922425.0
2018,Cote d\'Ivoire,410651695.0,Cote d\'Ivoire,1213419756.0
2018,Croatia,309014922.0,Croatia,457241422.0
2018,Cuba,280837058.0,Cuba,1275914.0
2018,Curaçao,647128969.0,Curaçao,102079452.0
2018,Cyprus,116820934.0,Cyprus,104777430.0
2018,Czechia,3721519064.0,Czechia,4437692323.0
2018,Democratic Republic of the Congo,67969680.0,Democratic Republic of the Congo,49412624.0
2018,Denmark,2630425654.0,Denmark,9128692781.0
2018,Djibouti,100060728.0,Djibouti,2019374.0
2018,Dominica,129585136.0,Dominica,1195438.0
2018,Dominican Republic,8891243399.0,Dominican Republic,5660003241.0
2018,Ecuador,5452429043.0,Ecuador,6693032841.000001
2018,Egypt,4835669242.0,Egypt,2503279142.0
2018,El Salvador,3497456688.0,El Salvador,2497444805.0
2018,Equatorial Guinea,134919890.0,Equatorial Guinea,602337605.0
2018,Eritrea,7886001.0,Eritrea,192901.0
2018,Estonia,381044770.0,Estonia,1166832533.0
2018,Eswatini,30643006.0,Eswatini,15289982.0
2018,Ethiopia,195857048.0,Ethiopia,386324522.0
2018,Falkland Islands,199770.0,Falkland Islands,13130921.000000002
2018,Fiji,64549997.0,Fiji,387967164.0
2018,Finland,2025863388.0,Finland,6193191117.0
2018,France,28478852408.0,France,45700569165.0
2018,French Polynesia,107178120.0,French Polynesia,35545348.0
2018,French South Antarctic Territory,804609.0,French South Antarctic Territory,23520.0
2018,Gabon,97679471.0,Gabon,295735951.0
2018,Gambia,40929610.0,Gambia,560596.0
2018,Georgia,527945087.0,Georgia,192788767.0
2018,Germany,58744822009.0,Germany,128596306654.0
2018,Ghana,873177499.0,Ghana,627455996.0
2018,Gibraltar,990254974.9999999,Gibraltar,352951.0
2018,Greece,832082474.0,Greece,1860545220.0
2018,Greenland,9379477.0,Greenland,16296190.0
2018,Grenada,95495243.0,Grenada,15357591.0
2018,Guatemala,7363124467.0,Guatemala,3966877722.0
2018,Guinea,112082511.0,Guinea,5147041.0
2018,Guinea-Bissau,18452892.0,Guinea-Bissau,176025.0
2018,Guyana,442096791.0,Guyana,250731256.0
2018,Haiti,966772311.0,Haiti,1008240250.0
2018,Honduras,5118661573.0,Honduras,3711215304.0
2018,Hong Kong,33559626060.0,Hong Kong,4246624280.0
2018,Hungary,1957971033.0,Hungary,4420296552.0
2018,Iceland,562509937.0,Iceland,419530115.0
2018,India,32813145508.0,India,53475427418.0
2018,Indonesia,9603746652.0,Indonesia,20766414386.0
2018,Iran,442925526.0,Iran,65540640.0
2018,Iraq,1261532999.0,Iraq,12125183169.999998
2018,Ireland,19339190852.0,Ireland,49137806365.0
2018,Israel,9375432877.0,Israel,20347252838.0
2018,Italy,19247287650.0,Italy,50851643859.0
2018,Jamaica,2621185929.0,Jamaica,641108095.0000001
2018,Japan,75611988576.0,Japan,138971049626.0
2018,Jordan,1580921141.0,Jordan,1877249647.0
2018,Kazakhstan,1040197944.0,Kazakhstan,1440454773.0
2018,Kenya,250536390.0,Kenya,602695391.0
2018,Kiribati,1880198.0,Kiribati,3198483.0
2018,Kuwait,3043179544.0,Kuwait,1992718519.0
2018,Kyrgyzstan,92427631.0,Kyrgyzstan,8157590.0
2018,Laos,23442634.0,Laos,142750600.0
2018,Latvia,368801558.0,Latvia,700877478.0
2018,Lebanon,1480990631.0,Lebanon,98806139.0
2018,Lesotho,7244203.0,Lesotho,399848644.0
2018,Liberia,185617729.0,Liberia,65295684.00000001
2018,Libya,238006660.0,Libya,1447307962.0
2018,Lithuania,686036866.0,Lithuania,1381563427.0
2018,Luxembourg,1043430175.0,Luxembourg,521914786.0
2018,Macau,320202168.0,Macau,51094670.0
2018,Madagascar,133588694.0,Madagascar,762282373.0
2018,Malawi,14111924.0,Malawi,58409641.0
2018,Malaysia,13931120727.0,Malaysia,35149879499.0
2018,Maldives,47640761.0,Maldives,33413830.0
2018,Mali,120564741.0,Mali,23632415.0
2018,Malta,262888741.0,Malta,209520850.0
2018,Marshall Islands,258003479.0,Marshall Islands,11984643.0
2018,Mauritania,86485417.0,Mauritania,6490612.0
2018,Mauritius,171651961.0,Mauritius,357037308.0
2018,Mexico,254152819601.0,Mexico,340051922013.0
2018,Micronesia,37715119.0,Micronesia,783747.0
2018,Moldova,11649295.0,Moldova,57249349.0
2018,Mongolia,205553009.0,Mongolia,9805006.0
2018,Montenegro,71772861.0,Montenegro,2097694.0
2018,Montserrat,10570974.0,Montserrat,802089.0
